Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW)
880c42c20bfffff,H3,2028,0,4.4
880c42c20bfffff,H3,2028,1,3.9
880c42c20bfffff,H3,2028,2,3.3
880c42c20bfffff,H3,2028,3,3.0
880c42c20bfffff,H3,2028,4,2.6
880c42c20bfffff,H3,2028,5,2.4
880c42c20bfffff,H3,2028,6,2.2
880c42c20bfffff,H3,2028,7,1.8
880c42c20bfffff,H3,2028,8,1.6
880c42c20bfffff,H3,2028,9,1.5
880c42c20bfffff,H3,2028,10,1.6
880c42c20bfffff,H3,2028,11,1.8
880c42c20bfffff,H3,2028,12,2.2
880c42c20bfffff,H3,2028,13,2.4
880c42c20bfffff,H3,2028,14,2.6
880c42c20bfffff,H3,2028,15,3.2
880c42c20bfffff,H3,2028,16,3.9
880c42c20bfffff,H3,2028,17,5.0
880c42c20bfffff,H3,2028,18,5.8
880c42c20bfffff,H3,2028,19,6.2
880c42c20bfffff,H3,2028,20,6.5
880c42c20bfffff,H3,2028,21,6.2
880c42c20bfffff,H3,2028,22,5.8
880c42c20bfffff,H3,2028,23,5.1
880c465213fffff,H3,2028,0,2.3
880c465213fffff,H3,2028,1,1.9
880c465213fffff,H3,2028,2,1.7
880c465213fffff,H3,2028,3,1.5
880c465213fffff,H3,2028,4,1.4
880c465213fffff,H3,2028,5,1.2
880c465213fffff,H3,2028,6,1.1
880c465213fffff,H3,2028,7,0.9
880c465213fffff,H3,2028,8,0.8
880c465213fffff,H3,2028,9,0.8
880c465213fffff,H3,2028,10,0.8
880c465213fffff,H3,2028,11,0.9
880c465213fffff,H3,2028,12,1.1
880c465213fffff,H3,2028,13,1.2
880c465213fffff,H3,2028,14,1.4
880c465213fffff,H3,2028,15,1.6
880c465213fffff,H3,2028,16,2.0
880c465213fffff,H3,2028,17,2.6
880c465213fffff,H3,2028,18,3.1
880c465213fffff,H3,2028,19,3.2
880c465213fffff,H3,2028,20,3.3
880c465213fffff,H3,2028,21,3.3
880c465213fffff,H3,2028,22,3.0
880c465213fffff,H3,2028,23,2.7
880c51cc2dfffff,H3,2028,0,1.7
880c51cc2dfffff,H3,2028,1,1.5
880c51cc2dfffff,H3,2028,2,1.2
880c51cc2dfffff,H3,2028,3,1.1
880c51cc2dfffff,H3,2028,4,1.0
880c51cc2dfffff,H3,2028,5,0.9
880c51cc2dfffff,H3,2028,6,0.8
880c51cc2dfffff,H3,2028,7,0.7
880c51cc2dfffff,H3,2028,8,0.6
880c51cc2dfffff,H3,2028,9,0.6
880c51cc2dfffff,H3,2028,10,0.6
880c51cc2dfffff,H3,2028,11,0.7
880c51cc2dfffff,H3,2028,12,0.8
880c51cc2dfffff,H3,2028,13,0.8
880c51cc2dfffff,H3,2028,14,0.9
880c51cc2dfffff,H3,2028,15,1.1
880c51cc2dfffff,H3,2028,16,1.4
880c51cc2dfffff,H3,2028,17,1.8
880c51cc2dfffff,H3,2028,18,2.2
880c51cc2dfffff,H3,2028,19,2.3
880c51cc2dfffff,H3,2028,20,2.4
880c51cc2dfffff,H3,2028,21,2.3
880c51cc2dfffff,H3,2028,22,2.2
880c51cc2dfffff,H3,2028,23,1.9
880c553825fffff,H3,2028,0,4.7
880c553825fffff,H3,2028,1,4.1
880c553825fffff,H3,2028,2,3.5
880c553825fffff,H3,2028,3,3.2
880c553825fffff,H3,2028,4,2.8
880c553825fffff,H3,2028,5,2.5
880c553825fffff,H3,2028,6,2.3
880c553825fffff,H3,2028,7,1.9
880c553825fffff,H3,2028,8,1.6
880c553825fffff,H3,2028,9,1.6
880c553825fffff,H3,2028,10,1.7
880c553825fffff,H3,2028,11,1.9
880c553825fffff,H3,2028,12,2.3
880c553825fffff,H3,2028,13,2.6
880c553825fffff,H3,2028,14,2.8
880c553825fffff,H3,2028,15,3.4
880c553825fffff,H3,2028,16,4.2
880c553825fffff,H3,2028,17,5.3
880c553825fffff,H3,2028,18,6.2
880c553825fffff,H3,2028,19,6.6
880c553825fffff,H3,2028,20,6.8
880c553825fffff,H3,2028,21,6.7
880c553825fffff,H3,2028,22,6.2
880c553825fffff,H3,2028,23,5.5
880c5acf5dfffff,H3,2028,0,3.9
880c5acf5dfffff,H3,2028,1,3.4
880c5acf5dfffff,H3,2028,2,3.0
880c5acf5dfffff,H3,2028,3,2.6
880c5acf5dfffff,H3,2028,4,2.4
880c5acf5dfffff,H3,2028,5,2.2
880c5acf5dfffff,H3,2028,6,1.9
880c5acf5dfffff,H3,2028,7,1.6
880c5acf5dfffff,H3,2028,8,1.4
880c5acf5dfffff,H3,2028,9,1.2
880c5acf5dfffff,H3,2028,10,1.4
880c5acf5dfffff,H3,2028,11,1.6
880c5acf5dfffff,H3,2028,12,1.8
880c5acf5dfffff,H3,2028,13,2.0
880c5acf5dfffff,H3,2028,14,2.3
880c5acf5dfffff,H3,2028,15,2.7
