Year,Hour of Day,Avg. Demand,County
2024,0,1.9,anchorage
2024,1,1.7,anchorage
2024,2,1.5,anchorage
2024,3,1.4,anchorage
2024,4,1.2,anchorage
2024,5,1.1,anchorage
2024,6,1.0,anchorage
2024,7,0.9,anchorage
2024,8,0.8,anchorage
2024,9,0.8,anchorage
2024,10,0.8,anchorage
2024,11,0.9,anchorage
2024,12,1.0,anchorage
2024,13,1.2,anchorage
2024,14,1.4,anchorage
2024,15,1.6,anchorage
2024,16,1.9,anchorage
2024,17,2.4,anchorage
2024,18,2.8,anchorage
2024,19,3.0,anchorage
2024,20,3.1,anchorage
2024,21,3.0,anchorage
2024,22,2.7,anchorage
2024,23,2.4,anchorage
2024,0,10.8,anchorage
2024,1,9.4,anchorage
2024,2,8.3,anchorage
2024,3,7.4,anchorage
2024,4,6.7,anchorage
2024,5,6.1,anchorage
2024,6,5.5,anchorage
2024,7,4.3,anchorage
2024,8,3.6,anchorage
2024,9,3.5,anchorage
2024,10,3.8,anchorage
2024,11,4.3,anchorage
2024,12,5.0,anchorage
2024,13,5.6,anchorage
2024,14,6.2,anchorage
2024,15,7.3,anchorage
2024,16,9.1,anchorage
2024,17,11.9,anchorage
2024,18,14.0,anchorage
2024,19,15.0,anchorage
2024,20,15.7,anchorage
2024,21,15.3,anchorage
2024,22,14.3,anchorage
2024,23,12.7,anchorage
2024,0,1.2,anchorage
2024,1,1.0,anchorage
2024,2,0.9,anchorage
2024,3,0.8,anchorage
2024,4,0.8,anchorage
2024,5,0.7,anchorage
2024,6,0.6,anchorage
2024,7,0.5,anchorage
2024,8,0.5,anchorage
2024,9,0.5,anchorage
2024,10,0.5,anchorage
2024,11,0.5,anchorage
2024,12,0.6,anchorage
2024,13,0.7,anchorage
2024,14,0.7,anchorage
2024,15,0.9,anchorage
2024,16,1.0,anchorage
2024,17,1.4,anchorage
2024,18,1.6,anchorage
2024,19,1.7,anchorage
2024,20,1.8,anchorage
2024,21,1.8,anchorage
2024,22,1.6,anchorage
2024,23,1.5,anchorage
2024,0,1.5,anchorage
2024,1,1.4,anchorage
2024,2,1.1,anchorage
2024,3,1.0,anchorage
2024,4,0.9,anchorage
2024,5,0.9,anchorage
2024,6,0.8,anchorage
2024,7,0.6,anchorage
2024,8,0.6,anchorage
2024,9,0.5,anchorage
2024,10,0.6,anchorage
2024,11,0.6,anchorage
2024,12,0.7,anchorage
2024,13,0.8,anchorage
2024,14,0.9,anchorage
2024,15,1.0,anchorage
2024,16,1.2,anchorage
2024,17,1.7,anchorage
2024,18,1.9,anchorage
2024,19,2.2,anchorage
2024,20,2.3,anchorage
2024,21,2.2,anchorage
2024,22,2.0,anchorage
2024,23,1.8,anchorage
2024,0,2.2,fairbanks north star
2024,1,1.8,fairbanks north star
2024,2,1.6,fairbanks north star
2024,3,1.5,fairbanks north star
2024,4,1.2,fairbanks north star
2024,5,1.1,fairbanks north star
2024,6,1.0,fairbanks north star
2024,7,0.9,fairbanks north star
2024,8,0.7,fairbanks north star
2024,9,0.7,fairbanks north star
2024,10,0.8,fairbanks north star
2024,11,0.9,fairbanks north star
2024,12,1.0,fairbanks north star
2024,13,1.1,fairbanks north star
2024,14,1.2,fairbanks north star
2024,15,1.5,fairbanks north star
2024,16,1.8,fairbanks north star
2024,17,2.4,fairbanks north star
2024,18,2.8,fairbanks north star
2024,19,3.0,fairbanks north star
